6906,-2038,-1316.6
-997.71,6905.4,-4764.4
-18611,9469.3,-123.98
13759,-2469.9,-10046
15088,-13775,12334
4841.3,5530.4,536.14
-3614,-1883.2,8080.9
410.04,3256,-7034.2
-3710.6,5377.4,-2986
-2845.5,10072,4760
-3467.5,-2662.9,-5128.7
-6292.1,-12394,-5042.1
151.06,-10534,4082.2
6707.5,6757.5,-1128.7
-4412.4,19317,1195
8664.9,4274.8,6580
-18318,-19355,-600.79
-2525.6,-7669.4,-774.2
7205.8,3374.1,-1359.8
-7570.8,9270.3,-4533
-3507.8,11449,1484.5
14109,-12856,-5758.4
13884,1136.1,13542
3893.3,-367.83,-1883.9
-2021.4,3141.4,2671.2
-3792.3,6026.9,-8731.9
2863.1,12310,-867.66
-20608,-25648,8202.1
-534.27,-9061.4,4437.6
-3186.9,-91.949,-2986.2
-3425.3,7089.9,-7985.9
-5930.7,16841,-5550.8
29429,-8689.3,-3625
5072,-8163.4,23962
8232.4,4529.6,1523
-319.25,6487.8,-10357
-15428,12480,-7234.7
11191,10764,-4654.2
-9374.4,-34099,1700.6
-23816,1867.3,33596
-1265.5,-7849.7,2268.2
2948.7,-5710.1,-13376
151.86,20848,-5517.1
4600.7,8231.9,-7562.5
13839,-8836.1,14352
8469.5,-11513,-360.36
225.33,8007.8,-3170.1
-9051.2,12437,-3550.8
-341.92,8771.9,-5767.7
4479.4,-8483.9,-3635.9
-16257,-19030,12754
-12865,-4028.4,3654.7
-3072.9,-3837.2,856.61
5165.3,663.21,-2199.7
6308.6,6260,-4284.3
-4427.2,11309,-5006.2
7703.1,-7702.8,3182.7
14745,-5502.5,10675
5266.4,5806.4,-4489.2
-7240.3,9055.2,-8282.4
-196.6,6774.5,-11695
9125.8,-16226,2937.3
-44432,5245.9,22618
2215.2,-11245,31397
28538,-16947,-24283
-5838.8,20941,-10834
-12535,11116,5391.4
4285.4,12187,-12558
17532,-35997,3490.5
-4563.9,-908.11,-7782.4
-2349,7477.2,2326.5
-12665,16943,12970
9276.7,-2488.3,-13741
7687.2,-24183,-4421.5
8009,-2769.9,-6800.2
167.75,7322.3,4654.2
-9462.2,12015,10521
6259.7,4940,11035
822.95,8714.3,-3992.7
-6302.5,-18068,-9270.7
-6531.5,-18263,437.67
-965.69,4006.8,-3798.3
6574.1,10897,6143.9
311.37,12576,1110.9
4896,7718.6,-3531.6
-17576,-36388,-3210.7
